dataset,sse,view,reference,candidate,ssim,lpips
bagAmsterdam,6,2,bagAmsterdam__sse-4__view-2.png,bagAmsterdam__sse-6__view-2.png,0.9583085048309333,
bagAmsterdam,6,3,bagAmsterdam__sse-4__view-3.png,bagAmsterdam__sse-6__view-3.png,0.9736322065221348,
bagAmsterdam,6,4,bagAmsterdam__sse-4__view-4.png,bagAmsterdam__sse-6__view-4.png,0.9866404089102887,
bagAmsterdam,6,5,bagAmsterdam__sse-4__view-5.png,bagAmsterdam__sse-6__view-5.png,0.9841887822462386,
bagAmsterdam,8,0,bagAmsterdam__sse-4__view-0.png,bagAmsterdam__sse-8__view-0.png,0.9810859620782719,
bagAmsterdam,8,1,bagAmsterdam__sse-4__view-1.png,bagAmsterdam__sse-8__view-1.png,0.9658587050326064,
bagAmsterdam,8,2,bagAmsterdam__sse-4__view-2.png,bagAmsterdam__sse-8__view-2.png,0.9539089035003244,
bagAmsterdam,8,3,bagAmsterdam__sse-4__view-3.png,bagAmsterdam__sse-8__view-3.png,0.9736322065221348,
bagAmsterdam,8,4,bagAmsterdam__sse-4__view-4.png,bagAmsterdam__sse-8__view-4.png,0.9866404089102887,
bagAmsterdam,8,5,bagAmsterdam__sse-4__view-5.png,bagAmsterdam__sse-8__view-5.png,0.9841887822462386,
bagRotterdam,12,0,bagRotterdam__sse-4__view-0.png,bagRotterdam__sse-12__view-0.png,0.966171576646234,
bagRotterdam,12,1,bagRotterdam__sse-4__view-1.png,bagRotterdam__sse-12__view-1.png,0.9520008437797682,
bagRotterdam,12,2,bagRotterdam__sse-4__view-2.png,bagRotterdam__sse-12__view-2.png,0.963088346375171,
bagRotterdam,12,3,bagRotterdam__sse-4__view-3.png,bagRotterdam__sse-12__view-3.png,0.9819876882553477,
bagRotterdam,12,4,bagRotterdam__sse-4__view-4.png,bagRotterdam__sse-12__view-4.png,0.9701300036379487,
bagRotterdam,12,5,bagRotterdam__sse-4__view-5.png,bagRotterdam__sse-12__view-5.png,0.959264852050134,
bagRotterdam,16,0,bagRotterdam__sse-4__view-0.png,bagRotterdam__sse-16__view-0.png,0.966171576646234,
bagRotterdam,16,1,bagRotterdam__sse-4__view-1.png,bagRotterdam__sse-16__view-1.png,0.9520008437797682,
bagRotterdam,16,2,bagRotterdam__sse-4__view-2.png,bagRotterdam__sse-16__view-2.png,0.963088346375171,
bagRotterdam,16,3,bagRotterdam__sse-4__view-3.png,bagRotterdam__sse-16__view-3.png,0.9819876882553477,
bagRotterdam,16,4,bagRotterdam__sse-4__view-4.png,bagRotterdam__sse-16__view-4.png,0.9701300036379487,
bagRotterdam,16,5,bagRotterdam__sse-4__view-5.png,bagRotterdam__sse-16__view-5.png,0.959264852050134,
bagRotterdam,24,0,bagRotterdam__sse-4__view-0.png,bagRotterdam__sse-24__view-0.png,0.966171576646234,
bagRotterdam,24,1,bagRotterdam__sse-4__view-1.png,bagRotterdam__sse-24__view-1.png,0.9520008437797682,
bagRotterdam,24,2,bagRotterdam__sse-4__view-2.png,bagRotterdam__sse-24__view-2.png,0.963088346375171,
bagRotterdam,24,3,bagRotterdam__sse-4__view-3.png,bagRotterdam__sse-24__view-3.png,0.9819876882553477,
bagRotterdam,24,4,bagRotterdam__sse-4__view-4.png,bagRotterdam__sse-24__view-4.png,0.9701300036379487,
bagRotterdam,24,5,bagRotterdam__sse-4__view-5.png,bagRotterdam__sse-24__view-5.png,0.959264852050134,
