runId,method,dataset,scenario,repeat,seed,deviceId,deviceClass,protocolVersion,networkProfile,studyPhase,pilotPurpose,piKp,piKi,valid,invalidReasons,requestPressureWindowCount,pressureSafeHoldCount,pressureTailOverlapCount,pressurePreemptiveOpportunityCount,pressurePreemptiveActionCount,missedPreemptiveOpportunityCount,tailDowngradeUnderPressureCount,validWindowCount,violationWindowCount,violationRate,frameTimeP95Ms,frameTimeP99Ms,timeWeightedMeanSse,requestQueuePeak,requestQueueAuc,switchCount,reversalCount,switchesPerMinute,forecastPairCount,predictionMaeMs,persistenceMaeMs,violationPrecision,violationRecall,violationF1,meanWarningLeadMs,rawFrameTimeP95Ms,rawFrameTimeP99Ms,frameBudgetViolationRate,firstStableDisplayMs,tilesLoadedTotal,tileFailureCount,stateWindowCounts,resourceCount,transferBytes,encodedBodyBytes,loadProgressEventCount,preRunReadinessReady,preRunReadinessWaitMs,preRunReadinessP95Ms,preRunReadinessCheckCount
pc-a-bagAmsterdam-burst-cesiumDynamic-r1-mt9wbmdr,cesiumDynamic,bagAmsterdam,burst,1,20260823,pc-a,pc,2.2.0,lan,pilot,request-peak-probe,,,True,,0,0,0,0,0,0,0,80,0,0.0,16.800000000046566,16.80105000004571,16.0,0,0.0,0,0,0.0,79.0,0.0001265822878826371,0.0001265822878826371,,,,,16.79999999998836,16.899999999965075,0.0,1178.1000000003842,7,0,"{""STABLE"": 80}",8,259482,257082,2.0,,,,
pc-a-bagAmsterdam-burst-cesiumDynamic-r1-mt9xk3h0,cesiumDynamic,bagAmsterdam,burst,1,20260823,pc-a,pc,2.2.1,lan,pilot,request-peak-probe,,,True,,0,0,0,0,0,0,0,80,0,0.0,16.800000000046566,16.80105000004571,16.0,0,0.0,0,0,0.0,79.0,0.00012658229101401695,0.00012658229101401695,,,,,16.79999999998836,16.900000000023283,0.0,1163.5999999999767,7,0,"{""STABLE"": 80}",8,259482,257082,2.0,,,,
pc-a-bagAmsterdam-burst-cesiumDynamic-r1-mt9ygfkd,cesiumDynamic,bagAmsterdam,burst,1,20260823,pc-a,pc,2.2.1,lan,pilot,request-peak-probe,,,True,,0,0,0,0,0,0,0,80,0,0.0,16.800000000046566,16.800000000046566,16.0,0,0.0,0,0,0.0,79.0,0.002531645577393492,0.002531645577393492,,,,,16.79999999998836,16.899999999965075,0.0,1662.0999999970081,7,0,"{""STABLE"": 80}",8,259482,257082,2.0,,,,
pc-a-bagAmsterdam-burst-cesiumDynamic-r1-mtb5b9d1,cesiumDynamic,bagAmsterdam,burst,1,20260823,pc-a,pc,2.2.2,lan,pilot,request-peak-probe,,,True,,0,0,0,0,0,0,0,79,0,0.0,16.900000000023283,16.910000000020954,16.0,1,1000.0,0,0,0.0,78.0,0.01551282051316377,0.01551282051316377,,,,,16.900000000023283,17.0,0.0,1166.899999994028,8,0,"{""STABLE"": 79}",9,813058,810358,5.0,,,,
pc-a-bagAmsterdam-burst-cesiumDynamic-r1-mtb8zvsm,cesiumDynamic,bagAmsterdam,burst,1,20260823,pc-a,pc,2.3.0,lan,pilot,request-peak-probe,,,True,,0,0,0,0,0,0,0,78,35,0.44871794871794873,65.89874999998538,66.61230000003206,16.0,1,500.0,0,0,0.0,77.0,3.0688311688319247,3.0688311688319247,0.9117647058823529,0.9117647058823529,0.9117647058823528,512.3838709677427,33.5,50.20000000001164,0.09433962264150944,1798.900000008929,8,0,"{""STABLE"": 78}",9,813058,810358,5.0,,,,
pc-a-bagAmsterdam-burst-cesiumDynamic-r1-mtbapg8e,cesiumDynamic,bagAmsterdam,burst,1,20260823,pc-a,pc,2.3.1,lan,pilot,request-peak-probe,,,True,,0,0,0,0,0,0,0,79,43,0.5443037974683544,66.68000000000582,66.71100000000588,16.0,1,500.0999999999767,0,0,0.0,78.0,5.075256410255008,5.075256410255008,0.9302325581395349,0.9302325581395349,0.9302325581395349,513.3550000000002,50.0,66.70000000001164,0.12587038028923406,2151.9999999880674,8,0,"{""STABLE"": 79}",9,813058,810358,6.0,,,,
pc-a-bagAmsterdam-burst-cesiumDynamic-r1-mtbc2mnw,cesiumDynamic,bagAmsterdam,burst,1,20260823,pc-a,pc,2.3.1,lan,pilot,full-pilot,,,True,,0,0,0,0,0,0,0,79,28,0.35443037974683544,66.70999999972992,66.89999999994552,16.0,1,500.10000000009313,0,0,0.0,78.0,3.211923076860452,3.211923076860452,0.9259259259259259,0.8928571428571429,0.9090909090909091,513.3400000000187,33.5,66.59999999962747,0.07860696517412935,1919.5,8,0,"{""STABLE"": 79}",9,813058,810358,5.0,,,,
pc-a-bagAmsterdam-burst-cesiumDynamic-r1-mtbj3x8l,cesiumDynamic,bagAmsterdam,burst,1,20260823,pc-a,pc,2.3.2,lan,pilot,request-peak-probe,,,True,,0,0,0,0,0,0,0,79,0,0.0,16.900000000023283,16.900000000023283,16.0,0,0.0,0,0,0.0,78.0,0.024423076914890485,0.024423076914890485,,,,,16.899999999965075,16.900000000023283,0.0,10195.5,7,0,"{""STABLE"": 79}",8,259482,257082,2.0,,,,
pc-a-bagAmsterdam-burst-cesiumDynamic-r1-mtbjk7i8,cesiumDynamic,bagAmsterdam,burst,1,20260823,pc-a,pc,2.3.2,lan,pilot,full-pilot,,,True,,0,0,0,0,0,0,0,79,0,0.0,16.9000000001397,16.90110000013816,16.0,0,0.0,0,0,0.0,78.0,0.005256410302498747,0.005256410302498747,,,,,16.900000000023283,17.0,0.0,10171.40000000596,7,0,"{""STABLE"": 79}",8,259482,257082,2.0,,,,
pc-a-bagAmsterdam-burst-cesiumDynamic-r1-mtchp5aj,cesiumDynamic,bagAmsterdam,burst,1,20260823,pc-a,pc,2.3.3,lan,pilot,request-peak-probe,,,True,,0,0,0,0,0,0,0,79,0,0.0,16.900000000023283,16.922000000018162,16.0,1,500.0,0,0,0.0,78.0,0.022948717944307608,0.022948717944307608,,,,,16.800000000046566,16.900000000023283,0.0,10140.90000000596,8,0,"{""STABLE"": 79}",9,813058,810358,5.0,True,4030.1999999582767,16.800000000046566,2.0
